step etot ke peBond peAngle temp press stressX stressY stressZ AvBondForce
2635090 76941.0674242227 47198.1925475312 13186.395688343 16556.4791883486 1.00339493282165 0.023187417933448 -6055.38334073874 -5867.57387786574 -10548.3810272839 -1.33198653725273
2635292 76740.7386097172 47033.2896396124 13310.2077427224 16397.2412273825 0.999889232003834 0.026475238279099 -6763.75281318237 -8057.11885847236 -10888.5339357091 -1.28658679275891
2635494 77041.9322420493 47167.7643696372 13401.1837868031 16472.984085609 1.0027480546709 0.0221146160310345 -7518.47567558154 -4106.40714036204 -9893.29100942333 -1.34153407561909
2635696 76584.8904059514 47108.5890190453 13088.1091827449 16388.1922041612 1.00149003516365 0.0239531976864305 -4264.13290441215 -6546.55273830098 -12543.3318866444 -1.3018443590541
2635898 77043.4251547365 47372.6038807854 13185.8100051861 16485.0112687649 1.00710277497763 0.0299426823512933 -6253.81650989195 -10026.9496432862 -12971.4755606858 -1.24930452970375
2636100 76526.45236694 46676.136168346 13360.5309803128 16489.7852182812 0.992296441603069 0.0255994138721727 -7613.50346884269 -6057.56797603056 -11388.1214123407 -1.28930455732952
2636302 77039.2788372377 46916.3844859482 13477.7844526058 16645.1098986837 0.997403924146141 0.0314134592807287 -10269.7329648408 -6900.45230540244 -13641.8008373629 -1.23715703773098
2636504 76677.2212372747 47043.1857374081 13277.9640634033 16356.0714364632 1.00009961494112 0.0262653248038723 -11721.1306412287 -4011.97907716888 -10080.6849366496 -1.28277176052624
2636706 76492.945353667 47215.1017716001 12900.0334704299 16377.810111637 1.00375440908192 0.0261773551407188 -9571.78903528214 -5231.97458687931 -10974.7733560741 -1.29480800094476
2636908 76424.9369144195 46832.7054533372 13233.1798789679 16359.0515821144 0.995624976420106 0.0385864343178634 -11148.6478326798 -12571.7079236167 -14353.6754832293 -1.14134715289979
2637110 76375.3421693326 46891.2649945689 13257.1694683008 16226.9077064629 0.99686990432452 0.0279969377384724 -8577.924450414 -5999.79236279444 -13102.1981338433 -1.27126950098023
2637312 76573.4855660375 46902.5149516103 13251.2678725961 16419.7027418311 0.997109069200979 0.0342801878227449 -7387.59291548161 -11651.6013504395 -14919.8703377394 -1.19112948418076
2637514 77029.2986743022 47190.2280216305 13371.1779522937 16467.892700378 1.00322561352149 0.0209865583444983 -5461.0933788345 -5089.58366958835 -10280.3346608327 -1.36603598610304
2637716 76837.6977762397 47168.0696599796 13195.1950481188 16474.4330681413 1.00275454489364 0.0294777953147392 -10358.4885616515 -7593.32542776707 -11365.1549075442 -1.24958165690079
2637918 77137.3518624078 47456.5232235624 13318.5443161603 16362.2843226851 1.00888683150106 0.0238658035722467 -4672.99553997479 -6050.92872277543 -13058.3496537813 -1.31801696502982
2638120 76601.7088769233 46911.118286169 13297.6716961813 16392.918894573 0.997291969050224 0.0267088784823742 -5040.1789628441 -9869.75729274715 -11757.7011714473 -1.27194184974783
2638322 76469.0505207425 46975.101174376 13112.0467114893 16381.9026348772 0.998652192871286 0.0377111074829506 -11058.6864538145 -12633.332392818 -14034.6173825291 -1.13385529217744
2638524 76455.0349240584 46812.6809023654 13121.5929614368 16520.7610602562 0.995199270860368 0.0300036562343132 -9319.77893301775 -7745.99401543871 -13008.921708973 -1.22795596519538
2638726 76925.3565835259 47348.8250926306 13159.5710135087 16416.9604773866 1.00659725740894 0.0250634009896386 -7613.12118535985 -7346.55267055676 -10212.0896501835 -1.29967493972285
2638928 76573.9608456275 46979.4619081016 13293.8784236317 16300.6205138941 0.9987448985002 0.0280918180334154 -9338.99759317768 -6617.26280945384 -12311.9577615077 -1.26167027673663
2639130 76623.1775103106 46935.3281352349 13334.3159181671 16353.5334569087 0.997806650620979 0.0217975561693824 -4322.97226961326 -8229.73441542341 -9424.3586859236 -1.32864559487343
2639332 76573.0265615054 46818.0254966847 13365.3764454667 16389.624619354 0.995312892560024 0.0201966655330185 -3740.19244878337 -7437.28461871828 -9225.01606407778 -1.35177466693652
2639534 76740.1167908406 46983.1019662857 13465.8367492237 16291.1780753312 0.99882228315711 0.0285069312079752 -7568.96474498721 -4801.40061970268 -16482.8408046577 -1.24694374063762
2639736 76247.3885439353 46768.3061908673 13228.3738746514 16250.7084784165 0.994255900823099 0.0185050260623359 -3435.03320590614 -6072.98438576417 -9257.98340242948 -1.36576845772974
2639938 76659.5609304766 47082.5745610212 13346.2871689852 16230.6992004701 1.00093698908386 0.0183848540495654 -4422.56936048232 -4971.62005626496 -9285.90330349665 -1.39038559016547
2640140 76620.9832659984 46927.2886029211 13387.3979792157 16306.2966838616 0.997635736745881 0.0220132544792209 -6670.72353281018 -5910.54748842987 -9828.54510160742 -1.33046578110918
2640342 76471.3674358869 46875.9739788204 13298.0278714516 16297.3655856148 0.996544829848325 0.0135783083338849 -346.514293318862 -4146.44434152328 -9356.51602473155 -1.42812547485356
2640544 76600.6082085657 47039.5609816283 13369.0704615232 16191.9767654142 1.0000225556008 0.0257889042221148 -4138.64722331184 -8214.59212806969 -14001.1234759993 -1.28519596710771
2640746 76773.8668389923 47103.2354994265 13299.9066485135 16370.7246910523 1.00137622371943 0.0304457955134788 -11418.965412081 -8977.69148531395 -10776.2544574854 -1.22819535840724
2640948 76668.8119667379 47267.5406029205 13187.3741722187 16213.8971915987 1.00486921570459 0.026329487370422 -6971.011768196 -6658.64432857304 -13380.1374213815 -1.26868654358996
2641150 76636.0709005257 47022.7195388773 13343.6040585829 16269.7473030656 0.999664520315854 0.0235940362690377 -5684.2404214622 -5696.2881467741 -12869.2817944806 -1.31278683504645
2641352 76460.4872219369 46996.1229192017 13235.474724468 16228.8895782672 0.999099097955965 0.0295053312228319 -8059.38086677473 -9550.0382720235 -12773.6938751045 -1.23199256690931
2641554 76862.2217836683 47366.0995052195 13243.9864296968 16252.135848752 1.00696449727818 0.0240553979309539 -2261.6338736024 -9977.71499999728 -12578.7450702625 -1.31337131388496
2641756 77098.3511806685 47393.1895159122 13454.8537741306 16250.3078906256 1.00754040872715 0.0289945574688364 -9240.74648390612 -8306.09254734619 -12423.7243239717 -1.25146760340014
2641958 76598.3120684179 47059.9715286974 13336.775886301 16201.5646534195 1.00045646712156 0.0261674655240084 -5366.02546117945 -8432.47289031393 -13300.9887054453 -1.30051768358528
2642160 76868.5106512419 47121.8454658533 13504.5041458949 16242.1610394937 1.00177185636985 0.0289340338946375 -8483.81952925017 -8092.59418117413 -13444.7715744064 -1.24783971417683
2642362 76447.4160209563 46899.2896803898 13211.2343019961 16336.8920385704 0.997040502575333 0.0206831257844573 -7560.81564977559 -4758.68762527199 -9181.2124931851 -1.34126407074409
2642564 76753.3745283716 46986.1879786152 13359.8311545019 16407.3553952545 0.998887889252743 0.0160838373349328 -519.583537568869 -5871.57313693413 -10359.9218896242 -1.39693821562809
2642766 76371.734564287 46784.720315698 13223.4378449321 16363.5764036569 0.994604851678902 0.0120107616347954 -177.83033609772 -4764.59833970744 -7590.0933968104 -1.4423935061521
2642968 76865.1960390458 47223.278191556 13320.9848836127 16320.932963877 1.00392823307623 0.0271390271562753 -7804.95020416775 -9931.2629832376 -10634.8431775396 -1.26576642075334
2643170 76617.9019223295 46733.6402007223 13466.6440376599 16417.6176839473 0.993518930253352 0.028556597946823 -6824.26783329727 -9172.47381225937 -13912.0921046103 -1.24168051436283
2643372 76231.0101928359 46677.6556136787 13176.7108042691 16376.6437748881 0.992328743766888 0.0180229393322538 -6049.72617433702 -3890.63290285751 -8971.26813961447 -1.36903379635487
2643574 76605.8993950363 47075.7950484538 13171.1141970956 16358.990149487 1.000792862197 0.0221478405444942 -3002.53007166435 -9124.18278933155 -11156.5275792967 -1.31356257189663
2643776 76263.7080309885 46414.4645626435 13490.7224158203 16358.5210525247 0.986733517494043 0.0232016265404574 -7263.55925637919 -9441.54825471863 -7731.32035939705 -1.29606179456593
2643978 76358.0365005045 46743.8104293829 13341.7602730537 16272.4657980678 0.993735140988402 0.0306273068249553 -6071.10051651692 -11034.3472707102 -15211.7617666885 -1.21098249082399
2644180 76660.448924979 47066.8773339665 13261.5608914877 16332.0106995248 1.00060327888786 0.0209179143706976 -1951.52774743905 -8060.72587758885 -12100.7475946223 -1.32283812803701
2644382 77060.5000105253 47476.1938915705 13321.6880331641 16262.6180857906 1.00930501379871 0.0157270564002844 -474.449731204892 -7564.19943547187 -8617.68904192065 -1.40636988608805
2644584 76728.3904479981 46781.2716370009 13667.5520714519 16279.5667395453 0.994531535593203 0.0171821487326508 -4084.25511853124 -5802.13351078764 -8344.62671771555 -1.37820084398687
2644786 76257.5368910726 46776.0759805597 13257.4365402495 16224.0243702633 0.994421080190901 0.0249928557566469 -9453.02170300058 -6291.53471901554 -10822.8454883735 -1.27168464238082
2644988 76417.563508871 47007.6184130068 13238.328992359 16171.6161035052 0.999343482743003 0.014864894528257 -2947.63499810553 -4452.49145735105 -8430.32809949899 -1.41248815689723
2645190 76585.7582220054 47182.684175844 13330.7666135019 16072.3074326595 1.00306523753615 0.0259394499093686 -8650.67826772241 -9763.2601892232 -9261.16164858637 -1.26990782596774
2645392 76900.0360085369 47236.9911811954 13445.7934818465 16217.2513454949 1.00421976000926 0.0222586163319296 -4552.88614545092 -7586.3875323984 -11652.2374905158 -1.31765687541383
2645594 76380.5260750483 46959.2880478507 13281.6359114411 16139.6021157565 0.998316018747424 0.0301765105320789 -10891.8474565731 -9621.85413082601 -11800.0107556984 -1.21426191550544
2645796 76496.2374735752 46997.03721261 13322.636742093 16176.5635188722 0.999118535085303 0.0224404744088509 -6078.06567763558 -6529.12375131225 -11466.4855449034 -1.30393863684509
2645998 76945.15786076 47337.9848866954 13446.8289151054 16160.3440589592 1.00636680350554 0.0228465663691519 -5389.58274301892 -9209.56720287075 -9954.85712698618 -1.33143700799803
2646200 76511.2746759963 47236.4809582751 13241.3512196412 16033.44249808 1.00420891308769 0.0247472883576139 -8467.46425518397 -5307.17518428576 -12870.5429482469 -1.27100131344599
2646402 76048.0166425272 46722.2283088345 13266.4150123222 16059.3733213705 0.993276322774632 0.0241058605575318 -7833.50043721657 -5502.884422725 -12665.3260961727 -1.2802217972943
2646604 76513.5488565413 47028.3740589862 13358.0286002169 16127.1461973382 0.999784730784064 0.0250963570096812 -4042.48217467742 -9078.33882969841 -13998.3712366577 -1.29573378909541
2646806 76682.3201535497 46917.8615092909 13451.0105341092 16313.4481101496 0.997435324453181 0.0191382924511467 -4928.15021948871 -6998.93391706554 -8791.23934382644 -1.34599466264664
2647008 76224.7418773542 46907.9562651191 13206.7120120287 16110.0736002064 0.997224747071422 0.0291420453235066 -9149.56669159076 -9111.98359149721 -13343.4203692963 -1.20934709617911
2647210 76082.9997549512 46840.6806197734 13228.7732161476 16013.5459190302 0.995794521929343 0.0207755412890277 -2988.87293980231 -11127.6290198821 -8455.5081762655 -1.32140317029259
